Age,Years_of_Education,Work_Experience,Annual_Income,Owns_Car
56,12,31,71475.2,1
46,7,23,56253.3,1
32,1,11,16033.49,0
60,19,19,79404.27,1
25,0,3,5000.0,0
38,4,13,17955.74,0
56,8,19,31277.2,1
36,16,11,39800.8,0
40,8,13,41726.96,1
28,10,6,22776.48,0
28,14,7,62297.43,1
41,5,17,35400.71,1
53,2,23,42245.27,1
57,16,31,69499.41,1
41,4,14,39442.7,1
20,11,1,19820.0,0
39,17,9,64669.34,1
19,13,0,33109.39,0
41,10,16,52392.66,1
61,8,25,32404.36,1
47,1,14,24905.83,0
55,11,23,51452.39,0
19,2,0,5000.0,0
38,2,9,23031.19,0
50,0,22,41396.07,0
29,7,7,19238.48,1
39,7,15,42818.54,0
61,10,37,45525.77,0
42,8,15,57194.45,0
44,4,17,37546.0,1
59,13,18,69951.17,1
45,2,20,34220.61,0
33,4,8,25806.13,0
32,4,12,31529.33,1
64,18,37,72335.53,1
61,13,28,42121.66,0
20,3,0,16473.99,0
54,12,29,47144.97,1
24,9,4,16183.38,0
38,17,9,56262.93,1
26,7,4,21008.92,0
56,7,30,56077.04,1
35,6,8,18610.59,1
21,7,2,16591.71,0
42,13,14,57102.96,1
31,18,5,50598.43,1
26,5,6,6026.72,0
43,0,14,22477.61,0
19,14,0,48512.39,0
37,0,8,10314.23,1
45,16,10,56480.58,0
64,0,33,27206.13,0
24,14,3,35332.17,0
61,1,29,45698.36,1
25,13,5,38192.32,0
64,7,33,62592.7,0
52,7,16,41853.02,0
31,18,7,70987.4,0
34,6,13,13050.87,0
53,18,27,63228.07,1
57,5,26,29254.66,0
21,5,1,6637.51,0
19,2,0,5000.0,0
23,6,3,22077.26,0
59,18,33,72463.01,1
21,7,2,25574.56,0
46,9,22,31569.39,0
35,19,13,51757.75,0
43,14,11,36757.05,0
61,14,26,68658.82,1
51,0,15,14097.32,0
27,19,4,45962.88,1
53,6,29,48003.06,1
31,3,8,13143.71,0
48,5,20,41338.78,1
32,0,6,28560.8,0
25,4,3,18897.12,0
31,0,6,21316.11,1
40,3,11,5000.0,0
57,1,28,28809.48,0
38,9,10,36249.01,0
33,4,10,12370.35,0
62,9,18,47676.49,0
35,0,8,25099.41,0
64,5,24,22404.39,1
41,12,16,32409.27,0
43,14,18,51748.13,1
42,3,14,30204.2,0
62,12,27,63480.8,0
58,19,30,71508.89,1
46,14,11,51915.12,1
32,7,7,36134.81,0
62,4,35,39955.42,0
18,14,0,27314.14,1
42,3,13,23414.93,0
24,11,5,33694.88,1
26,12,6,28217.27,0
41,1,12,16362.43,0
18,18,0,45377.02,0
61,18,30,70877.51,1
25,3,4,13646.63,0
41,3,13,7389.31,0
28,10,5,30864.92,0
34,4,11,13999.96,1
25,19,4,57330.83,1
52,10,27,46012.79,1
52,9,24,35637.68,0
50,7,13,34884.57,1
22,5,2,30307.0,0
59,5,21,44508.16,1
56,7,26,45999.17,0
58,14,29,46639.05,1
45,13,13,62216.0,1
24,10,3,22483.73,1
